,SUM_TAXEXCLUSIVEAMOUNT,SUM_TAXINCLUSIVEAMOUNT,INVOICE_COUNT,CURRENCY_CAD,CURRENCY_CHF,CURRENCY_CNY,CURRENCY_EUR,CURRENCY_GBP,CURRENCY_HUF,CURRENCY_PLN,CURRENCY_RON,CURRENCY_SEK,CURRENCY_USD,MIN_INV_PERIOD,MAX_INV_PERIOD
584553807,117683156.2,130119605.2,58,0,0,0,1,0,1,0,0,0,0,-9,15
584553809,15200000.0,15200000.0,32,0,0,0,0,0,1,0,0,0,0,0,0
584553811,122785936.0,154885139.0,41,0,0,0,0,0,1,0,0,0,0,0,155
584553812,33950959.0,43117722.0,25,0,0,0,0,0,1,0,0,0,0,5,8
584871336,0.0,0.0,10,0,0,0,1,0,0,0,0,0,0,-2,11
584871338,4016800.0,4016800.0,13,0,0,0,0,0,1,0,0,0,0,0,30
584876018,6976.0,6976.0,1,0,0,0,0,0,1,0,0,0,0,15,15
584890615,23251498.42,29527935.42,68,0,0,0,1,0,1,0,0,0,0,-5,15
584890623,33674975.0,40435768.0,73,0,0,0,0,0,1,0,0,0,0,0,30
584890635,3985000.0,3985000.0,18,0,0,0,0,0,1,0,0,0,0,0,18
584890645,6836842.0,7349237.0,34,0,0,0,0,0,1,0,0,0,0,-12,9
585319490,109001780.0,129402116.0,78,0,0,0,0,0,1,0,0,0,0,15,64
585319506,1969020.0,1969020.0,11,0,0,0,0,0,1,0,0,0,0,7,14
585319512,5125470.0,5125470.0,137,0,0,0,0,0,1,0,0,0,0,-14,8
585645461,453000.0,453000.0,2,0,0,0,0,0,1,0,0,0,0,8,15
585645465,31182497.0,39422493.0,152,0,0,0,0,0,1,0,0,0,0,-11,19
585935344,5700000.0,5700000.0,27,0,0,0,0,0,1,0,0,0,0,0,308
586256578,6755893.0,8579904.0,156,0,0,0,0,0,1,0,0,0,0,-5,30
586256582,76975561.0,97758963.0,17,0,0,0,0,0,1,0,0,0,0,8,30
586256593,187902.47,235033.47,9,0,0,0,1,0,1,0,0,0,0,14,30
587580387,6038000.0,7668260.0,8,0,0,0,0,0,1,0,0,0,0,-41,35
587626177,1355192.0,1355192.0,13,0,0,0,0,0,1,0,0,0,0,0,30
587626178,7750000.0,7750000.0,9,0,0,0,0,0,1,0,0,0,0,0,30
587626182,850000.0,850000.0,15,0,0,0,0,0,1,0,0,0,0,8,8
587626189,1232000.0,1232000.0,8,0,0,0,0,0,1,0,0,0,0,15,15
588538179,7064430.0,7064430.0,12,0,0,0,1,0,1,0,0,0,0,15,91
588538181,320000.0,320000.0,45,0,0,0,0,0,1,0,0,0,0,6,8
588538184,800000.0,800000.0,1,0,0,0,0,0,1,0,0,0,0,8,8
588538186,9845300.0,10806095.0,43,0,0,0,0,0,1,0,0,0,0,8,15
588538195,6601000.0,6601000.0,14,0,0,0,0,0,1,0,0,0,0,13,15
588538203,4209848.0,4209848.0,17,0,0,0,0,0,1,0,0,0,0,8,8
588538205,440000.0,440000.0,1,0,0,0,0,0,1,0,0,0,0,15,15
589121258,9417000.0,9417000.0,301,0,0,0,0,0,1,0,0,0,0,-4,16
589121265,86600223.0,108929282.0,123,0,0,0,0,0,1,0,0,0,0,-3,30
589121266,6998000.0,6998000.0,10,0,0,0,0,0,1,0,0,0,0,0,30
589121271,38725464.0,49180800.0,15,0,0,0,1,0,1,0,0,0,0,7,15
589121280,1620000.0,1620000.0,8,0,0,0,0,0,1,0,0,0,0,12,27
589121282,3687500.0,3687500.0,22,0,0,0,0,0,1,0,0,0,0,0,9
589121285,12072000.0,14041920.0,12,0,0,0,0,0,1,0,0,0,0,6,8
589121288,7905500.0,7905500.0,16,0,0,0,0,0,1,0,0,0,0,-210,8
589121292,439200.0,439200.0,4,0,0,0,0,0,1,0,0,0,0,8,15
589121300,84200.0,84200.0,2,0,0,0,0,0,1,0,0,0,0,0,0
589121302,8100000.0,8100000.0,6,0,0,0,0,0,1,0,0,0,0,6,8
589146023,14453206.0,18251026.0,25,0,0,0,0,0,1,0,0,0,0,-4,30
589146039,58694890.0,74542506.0,76,0,0,0,0,0,1,0,0,0,0,-4,15
589146041,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
589948602,6100000.0,6100000.0,9,0,0,0,0,0,1,0,0,0,0,15,30
589948605,14800000.0,18796000.0,5,0,0,0,0,0,1,0,0,0,0,22,32
589948609,67500.0,67500.0,3,0,0,0,0,0,1,0,0,0,0,4,8
589948613,10500000.0,13335000.0,7,0,0,0,0,0,1,0,0,0,0,3,5
589948616,62147936.0,78927836.0,344,0,0,0,0,0,1,0,0,0,0,-6,61
589948619,1615000.0,1615000.0,10,0,0,0,0,0,1,0,0,0,0,0,8
589948621,752000.0,752000.0,14,0,0,0,0,0,1,0,0,0,0,0,30
589948625,2715650.0,2715650.0,20,0,0,0,0,0,1,0,0,0,0,0,15
589960758,7681174.0,9755091.0,26,0,0,0,0,0,1,0,0,0,0,7,8
589960763,5046143.0,6408600.0,34,0,0,0,0,0,1,0,0,0,0,8,30
589960767,835000.0,835000.0,9,0,0,0,0,0,1,0,0,0,0,0,22
589960769,26800.0,29176.0,25,0,0,0,1,0,1,0,0,0,0,0,30
589960772,423834.0,423834.0,7,0,0,0,0,0,1,0,0,0,0,15,15
590819344,100000.0,100000.0,1,0,0,0,0,0,1,0,0,0,0,8,8
590821359,456000.0,456000.0,2,0,0,0,0,0,1,0,0,0,0,30,31
